name,slug,source_page,logo_url,output_file,status,note
Google Analytics,google_analytics,https://developers.google.com/analytics,https://www.gstatic.com/analytics-suite/header/suite/v2/ic_analytics.svg,artifacts/application-logo-pack/google_analytics.png,ok,
Adobe Analytics,adobe_analytics,https://business.adobe.com/products/analytics/adobe-analytics.html,https://business.adobe.com/favicon.ico,artifacts/application-logo-pack/adobe_analytics.png,ok,
OneTrust,onetrust,https://www.onetrust.com/,https://www.onetrust.com/favicon.ico,artifacts/application-logo-pack/onetrust.png,ok,
Contentsquare,contentsquare,https://contentsquare.com/,https://images.ctfassets.net/gwbpo1m641r7/2uZ6T6ihYpDJB3vvvT8yRZ/4fe9a3d8932440f6d5287f77bb29cc0e/1200px-Specsavers_logo.svg.png?w=128&q=85&fit=scale&fm=avif,artifacts/application-logo-pack/contentsquare.png,ok,
Qualtrics,qualtrics,https://www.qualtrics.com/,https://www.qualtrics.com/favicon.ico,artifacts/application-logo-pack/qualtrics.png,ok,
Algolia,algolia,https://www.algolia.com/,https://www.algolia.com/favicon.ico,artifacts/application-logo-pack/algolia.png,ok,
Adobe Experience Manager,adobe_experience_manager,https://business.adobe.com/products/experience-manager/adobe-experience-manager.html,https://business.adobe.com/favicon.ico,artifacts/application-logo-pack/adobe_experience_manager.png,ok,
Adobe Digital Asset Management,adobe_dam,https://business.adobe.com/products/experience-manager/digital-asset-management.html,https://business.adobe.com/favicon.ico,artifacts/application-logo-pack/adobe_dam.png,ok,
Hootsuite,hootsuite,https://www.hootsuite.com/,https://www.hootsuite.com/images/favicon-hs.ico,artifacts/application-logo-pack/hootsuite.png,ok,
Talkwalker,talkwalker,https://www.talkwalker.com/,https://www.talkwalker.com/images/favicon-tw.ico,artifacts/application-logo-pack/talkwalker.png,ok,
Magento,magento,https://business.adobe.com/products/magento/open-source.html,https://business.adobe.com/favicon.ico,artifacts/application-logo-pack/magento.png,ok,
Shopify,shopify,https://www.shopify.com/,https://www.shopify.com/favicon.ico,artifacts/application-logo-pack/shopify.png,ok,
WorldPay,worldpay,https://www.worldpay.com/,https://www.worldpay.com/favicon.ico,artifacts/application-logo-pack/worldpay.png,ok,
Recharge,recharge,https://rechargepayments.com/,https://getrecharge.com/wp-content/themes/getrecharge/assets/img/blocks/front/logos/verticals/meal-kits/icon-meals.svg,artifacts/application-logo-pack/recharge.png,ok,
Amasty,amasty,https://amasty.com/,https://cdn.amasty.com/media/favicon/stores/1/amasty_logo.png,artifacts/application-logo-pack/amasty.png,ok,
Yotpo,yotpo,https://www.yotpo.com/,https://www.yotpo.com/favicon.ico,artifacts/application-logo-pack/yotpo.png,ok,
Yoti,yoti,https://www.yoti.com/,https://cdn.aws.yoti.com/wp-content/uploads/yoti-logo.png,artifacts/application-logo-pack/yoti.png,ok,
Mapbox,mapbox,https://www.mapbox.com/,https://cdn.prod.website-files.com/6050a76fa6a633d5d54ae714/6a01fee83b6bda3892d7c7a7_build-with-mapbox-2026-logo.svg,artifacts/application-logo-pack/mapbox.png,ok,
Open Loyalty,open_loyalty,https://www.openloyalty.io/,https://cdn.prod.website-files.com/6364d8cb4443c41b196eab02/69f8dc260ddb651cf81e2cc6_limang-logo-gray.svg,artifacts/application-logo-pack/open_loyalty.png,ok,
UCC,ucc,https://www.gov.uk/get-information-about-a-company,https://www.gov.uk/assets/frontend/favicon-24f9fbe064118d58937932e73edafd1d50cb60f7bd84f52308382a309bc2d655.ico,artifacts/application-logo-pack/ucc.png,ok,
myGlo,myglo,https://www.myglo.com/,https://www.myglo.com/content/dam/myglo/favicons/icon-192x192.png,artifacts/application-logo-pack/myglo.png,ok,
myVuse,myvuse,https://www.vuse.com/,https://gb.vuse.com/cdn/shop/files/favicon-48.png?crop=center&height=32&v=1769030490&width=32,artifacts/application-logo-pack/myvuse.png,ok,
Azure Integration Services,azure_integration_services,https://azure.microsoft.com/en-us/products/integration-services/,https://azure.microsoft.com/favicon.ico,artifacts/application-logo-pack/azure_integration_services.png,ok,
Salesforce Service Cloud,salesforce_service_cloud,https://www.salesforce.com/products/service-cloud/overview/,https://www.salesforce.com/etc/designs/sfdc-www/en_us/favicon.ico?bc=OTH,artifacts/application-logo-pack/salesforce_service_cloud.png,ok,
Salesforce Sales Cloud,salesforce_sales_cloud,https://www.salesforce.com/products/sales-cloud/overview/,https://www.salesforce.com/etc/designs/sfdc-www/en_us/favicon.ico?bc=OTH,artifacts/application-logo-pack/salesforce_sales_cloud.png,ok,
